S.No. ,Email,Curriculum Progress,Quiz Score, Bonus Points, Total Score, % Score, badge,3123,3126,3136,3137,3138,3140,3141,3142,3143,3144
91,88eb26f608632990edf4921d0086efc1f8b34d1671bce3c019083a1f,10 out of 10 Course Completed,805 out of 1000,20,825,82.50%,,40,85,70,80,85,95,90,95,90,75
92,0105cf2b4f174ce322af88a6183066ad71d28fab1efcb16aa37c2b58,10 out of 10 Course Completed,885 out of 1000,0,885,88.50%,gold,95,85,90,80,85,80,95,85,95,95
93,27042782c2577260131a7b447257ff47f8d544efa8e099be1281c73d,0 out of 10 Course Completed,0 out of 0,0,0,0.00%,na,na,na,na,na,na,na,na,na,na,na
94,fa8d97b7d3900c539eaaa3a3d5b25e06dd17aa13b091f950b2ed2cc0,10 out of 10 Course Completed,800 out of 1000,0,800,80.00%,gold,100,75,95,65,75,65,90,85,65,85
95,dbc94930bf3ae3cb6d836d4dcade367b1869721438acb8b970d60914,0 out of 10 Course Completed,0 out of 0,0,0,0.00%,na,na,na,na,na,na,na,na,na,na,na
96,6429f777877beccbde7de26c13b6c8ec8381d1bdcc24b4cf5c6f6151,10 out of 10 Course Completed,925 out of 1000,5,930,93.00%,platinum,90,95,90,95,75,100,95,95,90,100
97,479827d8f6fbe667a82e26e4a0962b0325c652ecb1ae9854570e1963,10 out of 10 Course Completed,630 out of 1000,5,635,63.50%,,75,85,65,80,0,100,0,85,70,70
98,12ef7ae00332c17d2aee36526496044862dba7c330c1aee2d8930a3f,10 out of 10 Course Completed,905 out of 1000,10,915,91.50%,platinum,95,95,80,85,80,100,95,90,90,95
99,f27d088da569ab83c8993b4c2c72c1bf0468ce7372215bce0a1d7de8,10 out of 10 Course Completed,830 out of 1000,10,840,84.00%,gold,75,75,80,85,65,100,85,80,95,90
100,bf1b8f7aaec239eaa84e3b64a68fbaa5a3a2316c0b60b98aa3d487db,10 out of 10 Course Completed,725 out of 1000,0,725,72.50%,silver,70,75,85,80,75,65,80,75,55,65
101,f8619e1b5e55fb6bc7bd4034f4fa2bf384f31e64433351e8b19b416d,10 out of 10 Course Completed,795 out of 1000,0,795,79.50%,,85,85,80,80,45,80,85,95,85,75
102,23067e5bd14fc2ed355efd2862b7368cf909de320e0cd3d5e81a9d39,10 out of 10 Course Completed,800 out of 1000,0,800,80.00%,gold,65,70,65,90,70,80,90,95,95,80
103,af6ac6a16c4bdda0dbbfbef774ad6f0baae43d9122967e51616dadcb,10 out of 10 Course Completed,890 out of 1000,30,920,92.00%,platinum,75,90,100,80,90,80,90,95,95,95
104,3780a9a2801bf29991b09953702561735ae0245dbcf415f321803d3e,10 out of 10 Course Completed,880 out of 1000,20,900,90.00%,platinum,70,90,85,100,85,100,80,90,85,95
105,3db1089687664080204ee513317d8a05e21f05f382a5918a535718fd,10 out of 10 Course Completed,765 out of 1000,10,775,77.50%,gold,75,70,75,65,65,90,95,80,70,80
106,b6e4dea9a2c2e992e3939bae7feb596e741c62b70d3187145bc4a4ce,9 out of 10 Course Completed,790 out of 900,5,795,88.33%,,70,85,na,95,80,90,95,100,95,80
107,d47e609a8cbb64a33e574eb1ed635b38a1e0d32e66b4a8cc4b0a7f2d,10 out of 10 Course Completed,770 out of 1000,0,770,77.00%,gold,75,85,70,70,75,80,90,80,85,60
108,5a0269c24984dd90c5f8de15a4f8c1cee4716e301cdfdfce1ad5956b,10 out of 10 Course Completed,925 out of 1000,20,945,94.50%,platinum,85,90,85,90,90,100,95,100,95,95
109,3027db1451b98ee17db431f11f216452a5737d470dbd50822c826307,10 out of 10 Course Completed,760 out of 1000,5,765,76.50%,gold,60,75,80,80,75,75,95,70,80,70
110,fda6ea041e6c6b50c999f63a8d7ee64c715a939dc87a77aeafc21140,10 out of 10 Course Completed,810 out of 1000,0,810,81.00%,,65,95,70,90,60,90,85,95,75,85
111,92f27181aeca46db6cc0a0d2c135d8ad9e38e90a07c0baad1442fef8,6 out of 10 Course Completed,425 out of 600,0,425,70.83%,,na,80,60,70,na,na,na,80,65,70
112,08480093214ad9dedb736041d8a4f14e96cd39f390d1e65cf13f5974,10 out of 10 Course Completed,900 out of 1000,35,935,93.50%,platinum,70,80,90,85,90,100,100,90,95,100
113,a399ed519c9b22d202b62d1af916df6d288b4f9c63c80358bbc8e273,10 out of 10 Course Completed,890 out of 1000,35,925,92.50%,platinum,90,90,85,90,80,95,90,90,85,95
114,4fdab00fad787376e091a1c251742c8e9f9859604f8a5652c0f5ea62,10 out of 10 Course Completed,865 out of 1000,0,865,86.50%,gold,75,85,90,85,65,100,90,95,95,85
115,3261322f8baa30226b3e7ba0de8e80e6d706bdbfd87c26f3382f0613,0 out of 10 Course Completed,0 out of 0,0,0,0.00%,na,na,na,na,na,na,na,na,na,na,na
116,5734435ddd4c21f2b4b45440868083a67e264565e7a023c59218b2df,0 out of 10 Course Completed,0 out of 0,0,0,0.00%,na,na,na,na,na,na,na,na,na,na,na
117,bd153e7dfaa7ae9986130e8144075268edf0607a7ddab6570a12a9b9,10 out of 10 Course Completed,700 out of 1000,0,700,70.00%,,65,60,75,65,75,75,70,65,75,75
118,455dd60aae3a593e62e3bde027212444c47acd07ce0cfa62a6140f7a,10 out of 10 Course Completed,920 out of 1000,25,945,94.50%,platinum,90,95,80,95,90,100,90,95,95,90
119,54ec05032bdb25ff6472a2e3583b23a2107e72dbab92c573b54c67af,0 out of 10 Course Completed,0 out of 0,0,0,0.00%,na,na,na,na,na,na,na,na,na,na,na
120,79b949400e213229abeb63f210fc42bd769cc9ee98c7c85f9509e054,10 out of 10 Course Completed,575 out of 1000,5,580,58.00%,,45,65,20,60,65,95,65,50,45,65
121,350e773aa35521b99f670dfc39ebc9395b18eb8632cb0cf5b390a480,10 out of 10 Course Completed,730 out of 1000,5,735,73.50%,,70,70,65,70,65,80,100,75,65,70
122,6f5afc76f1a3f2f36e68c602f9e9d81ec8fc42fbce1401a96be5cb14,10 out of 10 Course Completed,645 out of 1000,0,645,64.50%,,80,65,55,65,55,80,75,70,65,35
123,011737f01de237cde5c38e74ca523474fc5a704bf8614d840a8c09b2,10 out of 10 Course Completed,915 out of 1000,35,950,95.00%,platinum,85,90,85,95,95,85,95,90,95,100
124,05f37878f62e8c242ba27492bb30dc9eaa1c01e07f2332801338b080,10 out of 10 Course Completed,905 out of 1000,10,915,91.50%,platinum,90,80,90,90,85,100,90,100,90,90
125,39121b88490934ad6258f231eeaaf0b1f9954e471557a3edbcc7bb3d,10 out of 10 Course Completed,325 out of 1000,0,325,32.50%,na,35,25,35,20,50,45,25,25,40,25
126,c21b8cd113bd42e97b1d1b1137dbf6d2944dcc5496bab7a6f7de6945,0 out of 10 Course Completed,0 out of 0,0,0,0.00%,na,na,na,na,na,na,na,na,na,na,na
127,65efddee2c0bb686f60dfac8bc580b6c462ee4c4e8ce2b47404dd274,10 out of 10 Course Completed,895 out of 1000,15,910,91.00%,,90,80,95,90,90,95,85,95,95,80
128,efe59f1b184401b5753f724f051ff787a376bd1f3fb7b5572a013d3e,0 out of 10 Course Completed,0 out of 0,0,0,0.00%,na,na,na,na,na,na,na,na,na,na,na
129,f672d9eecda23ee97183364a8f9f817841ab4e185d78fa04e7aedf47,10 out of 10 Course Completed,885 out of 1000,15,900,90.00%,platinum,90,90,80,90,75,100,90,100,85,85
130,716dcf491813fe140445dbe5831d24bed16c5f7585f08afb09765e4a,10 out of 10 Course Completed,890 out of 1000,5,895,89.50%,,80,85,95,90,90,85,85,95,90,95
131,764b0d3db5d835a52cdeab1d64e367d7359aa0381fbf59ebf2714f82,10 out of 10 Course Completed,800 out of 1000,15,815,81.50%,,60,75,90,80,60,95,85,95,80,80
132,a03a1fc53de4aab988b46a1e6c12993b1bccba50128ae80745ec892f,10 out of 10 Course Completed,745 out of 1000,0,745,74.50%,silver,60,85,80,75,55,80,80,80,85,65
133,b4812d5048dfce2148bdf8ddb2b8d257a84f2e533f37314272e7d7c5,0 out of 10 Course Completed,0 out of 0,0,0,0.00%,na,na,na,na,na,na,na,na,na,na,na
134,66ec344f967dfee48790268c45304374f84cb38cda13df2324638f3c,10 out of 10 Course Completed,910 out of 1000,35,945,94.50%,platinum,80,85,90,95,85,100,95,95,95,90
135,bdca2d42dc0a5587aa099086497fb61c23e62c749488361ce2040cbb,10 out of 10 Course Completed,805 out of 1000,5,810,81.00%,,80,85,60,75,70,90,85,90,85,85
136,b71ce3f2b929ae3efbf1106d0a9a4f4c1cdb4c50c0716657c6d499e5,9 out of 10 Course Completed,725 out of 900,5,730,81.11%,,70,85,na,70,75,85,80,85,95,80
137,75b9cffa217a3fa7dcafef3ec5fbb4ca548037eae9702effb5d6d477,10 out of 10 Course Completed,845 out of 1000,15,860,86.00%,,75,85,80,95,70,95,95,85,80,85
